PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,TEAM_ABBREVIATION,JERSEY,HEIGHT,WEIGHT,POSITION
1630173,Precious Achiuwa,Knicks,NYK,5,6-8,243,Forward
203500,Steven Adams,Rockets,HOU,12,6-11,265,Center
1628389,Bam Adebayo,Heat,MIA,13,6-9,255,Center-Forward
1630534,Ochai Agbaji,Raptors,TOR,30,6-5,215,Guard
1630583,Santi Aldama,Grizzlies,MEM,7,7-0,215,Forward-Center
1641725,Trey Alexander,Nuggets,DEN,23,6-4,185,Guard
1629638,Nickeil Alexander-Walker,Timberwolves,MIN,9,6-5,205,Guard
1628960,Grayson Allen,Suns,PHX,8,6-4,198,Guard
1628386,Jarrett Allen,Cavaliers,CLE,31,6-9,243,Center
1630631,Jose Alvarado,Pelicans,NOP,15,6-0,179,Guard
203937,Kyle Anderson,Warriors,GSW,1,6-9,230,Forward-Guard
203507,Giannis Antetokounmpo,Bucks,MIL,34,6-11,243,Forward
1630175,Cole Anthony,Magic,ORL,50,6-2,185,Guard
1628384,OG Anunoby,Knicks,NYK,8,6-7,240,Forward-Guard
1630166,Deni Avdija,Trail Blazers,POR,8,6-9,240,Forward
1629028,Deandre Ayton,Trail Blazers,POR,2,7-0,252,Center
1628963,Marvin Bagley III,Wizards,WAS,35,6-10,235,Forward
1631116,Patrick Baldwin Jr.,Wizards,WAS,7,6-9,220,Forward
1630163,LaMelo Ball,Hornets,CHA,1,6-7,180,Guard
1628366,Lonzo Ball,Bulls,CHI,2,6-6,190,Guard
1628964,Mo Bamba,Clippers,LAC,4,7-0,231,Center
1631094,Paolo Banchero,Magic,ORL,5,6-10,250,Forward
1630217,Desmond Bane,Grizzlies,MEM,22,6-5,215,Guard
1630625,Dalano Banton,Trail Blazers,POR,5,6-8,203,Forward
1631230,Dominick Barlow,Hawks,ATL,26,6-8,215,Forward
203084,Harrison Barnes,Spurs,SAS,40,6-8,225,Forward
1630567,Scottie Barnes,Raptors,TOR,4,6-7,237,Forward-Guard
1629628,RJ Barrett,Raptors,TOR,9,6-6,214,Forward-Guard
1629646,Charles Bassey,Spurs,SAS,28,6-10,230,Center-Forward
1641734,Emoni Bates,Cavaliers,CLE,21,6-8,170,Forward
1642419,Jamison Battle,Raptors,TOR,77,6-7,220,Forward
201587,Nicolas Batum,Clippers,LAC,33,6-8,230,Guard-Forward
203078,Bradley Beal,Suns,PHX,3,6-4,207,Guard
1627736,Malik Beasley,Pistons,DET,5,6-4,187,Guard
1630699,MarJon Beauchamp,Bucks,MIL,3,6-7,199,Forward
1641736,Reece Beekman,Nets,BKN,4,6-3,190,Guard
1630180,Saddiq Bey,Wizards,WAS,14,6-7,215,Guard-Forward
1629048,Goga Bitadze,Magic,ORL,35,6-10,250,Center-Forward
1641710,Anthony Black,Magic,ORL,0,6-7,200,Guard
203992,Bogdan Bogdanović,Hawks,ATL,13,6-5,225,Guard
202711,Bojan Bogdanović,Nets,BKN,44,6-7,226,Forward
1629626,Bol Bol,Suns,PHX,11,7-3,220,Center-Forward
1641737,Adem Bona,76ers,PHI,30,6-10,235,Forward
1626164,Devin Booker,Suns,PHX,1,6-6,206,Guard
1630527,Brandon Boston,Pelicans,NOP,11,6-6,188,Guard
1628449,Chris Boucher,Raptors,TOR,25,6-9,200,Forward
1631103,Malaki Branham,Spurs,SAS,22,6-4,180,Forward
1631128,Christian Braun,Nuggets,DEN,0,6-6,220,Guard
1641779,Jalen Bridges,Suns,PHX,15,6-8,225,Forward
1628969,Mikal Bridges,Knicks,NYK,25,6-6,209,Guard-Forward
1628970,Miles Bridges,Hornets,CHA,0,6-7,225,Forward
1627763,Malcolm Brogdon,Wizards,WAS,15,6-4,229,Guard
1628415,Dillon Brooks,Rockets,HOU,9,6-6,225,Guard-Forward
1628971,Bruce Brown,Raptors,TOR,11,6-4,202,Guard-Forward
1627759,Jaylen Brown,Celtics,BOS,7,6-6,223,Guard-Forward
1641738,Kobe Brown,Clippers,LAC,21,6-7,250,Forward
1628973,Jalen Brunson,Knicks,NYK,11,6-2,190,Guard
1628418,Thomas Bryant,Pacers,IND,3,6-10,248,Center-Forward
1641723,Kobe Bufkin,Hawks,ATL,4,6-4,195,Guard
1642486,Boo Buie III,Knicks,NYK,,6-2,180,
202692,Alec Burks,Heat,MIA,18,6-5,214,Guard
1630215,Jared Butler,Wizards,WAS,4,6-3,193,Guard
202710,Jimmy Butler,Heat,MIA,22,6-7,230,Forward
1641824,Matas Buzelis,Bulls,CHI,14,6-10,209,Forward
1631288,Jamal Cain,Pelicans,NOP,8,6-6,191,Forward
203484,Kentavious Caldwell-Pope,Magic,ORL,3,6-5,204,Guard
