Team,Abbreviation,TeamID,Team_ID
Atlanta Hawks,ATL,1,1610612737
Boston Celtics,BOS,2,1610612738
Brooklyn Nets,BKN,3,1610612751
Charlotte Hornets,CHA,4,1610612766
Chicago Bulls,CHI,5,1610612741
Cleveland Cavaliers,CLE,6,1610612739
Dallas Mavericks,DAL,7,1610612742
Denver Nuggets,DEN,8,1610612743
Detroit Pistons,DET,9,1610612765
Golden State Warriors,GSW,10,1610612744
Houston Rockets,HOU,11,1610612745
Indiana Pacers,IND,12,1610612754
Los Angeles Clippers,LAC,13,1610612746
Los Angeles Lakers,LAL,14,1610612747
Memphis Grizzlies,MEM,15,1610612763
Miami Heat,MIA,16,1610612748
Milwaukee Bucks,MIL,17,1610612749
Minnesota Timberwolves,MIN,18,1610612750
New Orleans Pelicans,NOP,19,1610612740
New York Knicks,NYK,20,1610612752
Oklahoma City Thunder,OKC,21,1610612760
Orlando Magic,ORL,22,1610612753
Philadelphia 76ers,PHI,23,1610612755
Phoenix Suns,PHX,24,1610612756
Portland Trail Blazers,POR,25,1610612757
Sacramento Kings,SAC,26,1610612758
San Antonio Spurs,SAS,27,1610612759
Toronto Raptors,TOR,28,1610612761
Utah Jazz,UTA,29,1610612762
Washington Wizards,WAS,30,1610612764
